,Participantes,Condicion,Grupo,Banda,Tipo,Fp1_A-F3_B,Fp1_A-C3_B,Fp1_A-O1_B,Fp1_A-F7_B,Fp1_A-T3_B,Fp1_A-T5_B,Fp1_A-Fp2_B,Fp1_A-F4_B,Fp1_A-C4_B,Fp1_A-O2_B,Fp1_A-F8_B,Fp1_A-T4_B,Fp1_A-T6_B,F3_A-C3_B,F3_A-O1_B,F3_A-F7_B,F3_A-T3_B,F3_A-T5_B,F3_A-Fp2_B,F3_A-F4_B,F3_A-C4_B,F3_A-O2_B,F3_A-F8_B,F3_A-T4_B,F3_A-T6_B,C3_A-O1_B,C3_A-F7_B,C3_A-T3_B,C3_A-T5_B,C3_A-Fp2_B,C3_A-F4_B,C3_A-C4_B,C3_A-O2_B,C3_A-F8_B,C3_A-T4_B,C3_A-T6_B,O1_A-F7_B,O1_A-T3_B,O1_A-T5_B,O1_A-Fp2_B,O1_A-F4_B,O1_A-C4_B,O1_A-O2_B,O1_A-F8_B,O1_A-T4_B,O1_A-T6_B,F7_A-T3_B,F7_A-T5_B,F7_A-Fp2_B,F7_A-F4_B,F7_A-C4_B,F7_A-O2_B,F7_A-F8_B,F7_A-T4_B,F7_A-T6_B,T3_A-T5_B,T3_A-Fp2_B,T3_A-F4_B,T3_A-C4_B,T3_A-O2_B,T3_A-F8_B,T3_A-T4_B,T3_A-T6_B,T5_A-Fp2_B,T5_A-F4_B,T5_A-C4_B,T5_A-O2_B,T5_A-F8_B,T5_A-T4_B,T5_A-T6_B,Fp2_A-F4_B,Fp2_A-C4_B,Fp2_A-O2_B,Fp2_A-F8_B,Fp2_A-T4_B,Fp2_A-T6_B,F4_A-C4_B,F4_A-O2_B,F4_A-F8_B,F4_A-T4_B,F4_A-T6_B,C4_A-O2_B,C4_A-F8_B,C4_A-T4_B,C4_A-T6_B,O2_A-F8_B,O2_A-T4_B,O2_A-T6_B,F8_A-T4_B,F8_A-T6_B,T4_A-T6_B
0,P01,EX,0CN,AL1,OR,0.0158799131724678,0.0382334973904308,-0.0007987705392381,0.029591700078486,0.0548032259989211,0.0541650161250276,-0.0116044753030027,-0.0791334333386221,-0.0479231464899457,-0.0036764995440719,-0.0418604311551405,0.0030095348785034,-0.0002243588238999,-0.0284786866254592,0.0246176667851365,-0.0081669569640652,-0.0005931476943759,0.0201896151232619,0.0130361530017122,-0.0502481816738881,-0.011991197338233,0.0244836254342022,-0.0426388566130308,0.0016892168364522,0.0318176375231686,-0.0069860813500054,-0.0186061923679908,-0.0696731700683682,-0.0547919476738451,0.0487138051303438,-0.0088568866420674,0.0276699139928714,0.0446218844387831,0.0093331979328339,-0.0125719318446382,0.0459256679046058,0.0582052482363139,-0.0169600418320076,-0.0374059883092985,0.0126157529385112,0.0160015823277685,-0.0117464819140862,-0.0190672318914803,-0.0061940447553945,-0.0158679037217081,-0.0226154007761897,-0.0610888391876754,-0.056721822874052,0.0513314516604026,-0.0168250053590961,0.0290904893621729,0.0189999162256963,0.0158183282284311,-0.0128222204485514,0.0209876998428773,-0.0470643951103677,0.0151830218929177,0.0345913076887402,0.0505836736122525,0.028913797648089,0.017567642037987,0.0192423689002856,0.0184672108718058,0.0140677382930206,0.0020381708860102,0.0250983368764643,-0.0126136879813701,0.0167464522283291,0.0232434482746643,0.0078912647362287,-0.0416873413600213,-0.0459016345361573,-0.0122310208201382,-0.0324868876023945,-0.0037868186228,-0.0054488919141589,-0.0596102227476557,-0.0079633378968085,-0.0465300934518196,-0.0099788163596357,-0.0187596984949672,-0.0096573904933624,0.0377670445423397,0.0079741069157702,-0.0208236219181872,-0.0023676651288115,-0.0501144803729867,-0.0334302279093761,-0.0050906655911931,-0.0156787986350555,0.0222213946989922
1,P01,EX,0CN,AL2,OR,0.0327307470864629,0.0336698495592989,-0.002512918228193,-0.0255644044886263,0.0311656716003217,0.0261394069855226,0.0165617443210756,-0.018979449116029,0.0011357204333309,-0.043637216625952,0.015684663387817,0.0154378389111231,-0.0224334689116706,-0.0060905441152884,-0.0050985793022902,-0.0122768992790704,-0.0107205813286189,-0.0122095320999598,0.0344386221854614,-0.0339597383026942,0.0162757778656867,-0.0471952435927432,0.0465902474237702,0.0460192568250848,0.0024359658477712,-0.0026941004418726,-0.0248481794807336,-0.0091717135728825,-0.0338730422961589,0.0127954831070288,0.0110333674809074,0.0512156874724397,0.0032686767805044,0.0390751828405133,0.0130712043138169,0.0351972665792426,0.0314417704085266,-0.0361052458124858,-0.051026333333603,0.0221920012682266,0.0200551356510676,0.0037240529198699,0.0235596936855729,0.0153630881625352,-0.0451368502861118,-0.0253897219249428,0.0320516329050235,0.0002628685814354,0.0156518112362733,0.0145803993004211,0.0191345754924667,-0.0340824068249239,0.0307511641399249,-0.0302042544225795,-0.0338480938992821,-0.0243313208707572,0.0248698521688311,0.0184745245720553,0.0234014057665671,-0.0049528328946444,0.0174832749973332,-0.0212134443256551,-0.0083338119344425,0.0307950983485534,0.0082017156203307,0.0133616564686125,0.0172008930791999,0.0090728087425697,-0.0072729100042129,-0.0256883169561089,-0.0447695550009734,-0.0464376358884592,-0.0741409911967606,-0.0133859985058448,-0.0102047571247589,-0.0609036387386623,-0.0202870963320459,0.0189146628576865,-0.0061775657352528,0.0239651262303098,0.000921653147479,0.0142934612156405,-0.0382164309650159,0.0226791198814849,0.0065899633278434,0.0248827758535583,-0.0332006653897281,0.0260174073876213,0.0580851468822612,0.0044174651336395,0.0489803940051358
2,P01,EX,0CN,BT,OR,0.0032548383085291,-0.0020038656383661,-0.019964051503584,0.0146129009544807,0.0011700342517405,-0.0196742404910773,0.0078012578787448,-0.0011475564285496,-0.0013600479342457,-0.0315593622106886,0.0272431118602533,0.0076301925775899,0.0051161682292605,0.0228938504083053,-0.0238611336625541,0.0144833363032758,-0.0136563486814627,-0.0166788755805712,0.0023467677567314,0.000547619174135,0.0046887099282286,-0.0395938331614837,0.0011466783003163,0.0260361242910785,0.0005435804960893,-0.0364288875200142,-0.0074314048470894,-0.0027474481115632,-0.0089874353783076,0.0133021286624303,-0.0086261358350374,-0.0135717598557951,-0.0180283021924754,0.0024768665447127,0.0216026321829707,0.0079602405315526,0.0023005180135379,0.0008496196680791,-0.0189084956182782,0.0022592608625541,-0.0009190863363347,0.0122616166886991,-0.0050542050121179,0.0136956225751276,-0.0093505529938778,-0.0144943221533653,-0.0138310609714946,-0.0200570694696124,0.0214076753031529,0.0091097443655655,-0.0016173168578443,-0.0267993201327536,0.0205411466137095,0.0241776242966378,-0.0087836281623465,-0.0108714738633725,0.0105748217339691,0.0101817812384688,-0.0089394621273678,-0.006720607021349,0.0072079491278412,0.0006653862032656,-0.0174251104673605,0.0009604035285754,0.0184718293947685,0.0087057789953974,0.01712651339855,0.0123040200905088,-0.0085274520488323,-0.001582880668569,0.0088444747306311,0.0037165075625662,0.007872487934254,0.0162382815620762,0.0167936317803786,0.0053890598179785,0.0130875315942667,0.0131125417029969,-0.0148039623193778,0.0041452071819396,-0.0109794551200341,0.0313748111954819,-0.0209893996014924,-0.0129454679041891,0.0005874832334377,-0.0024253604406844,-0.017451711979867,-0.0048192083053867,0.0167815929636897,0.0299004503868887,0.0035782493260189
3,P01,EX,0CN,DL,OR,0.0626536761714702,0.0231945876446316,0.035764476247889,0.0267080071324768,0.0757763868453795,0.0620727160025417,-0.0388060383452478,-0.0080109296274502,0.0053881441788433,0.0283401672971882,-0.0301943219850092,0.0144323502169423,-0.0474211121068458,-0.02494702954965,0.0332465932302112,-0.0552600777676391,0.0095926630875062,0.0389306404367949,-0.0062244083473933,0.0303071947440606,0.0150895895426553,0.0158393291082715,0.0275204508238631,0.0429811580932106,0.0020557718403261,-0.0503385050626115,0.0215508938470871,-0.0466645237201822,-0.0975602436814661,0.0570426124996365,-0.015695117371066,-0.0520044091884107,-0.0532095762981987,-0.0222438153941263,-0.0327882880923972,0.0116790502162752,0.0245997516361859,-0.0826685260812271,-0.0901736193724517,0.0597006348701679,-0.0291573458617242,-0.0438354495540547,-0.0747816787222541,-0.0055297084835319,-0.0607827561932206,-0.0028908019721258,-0.0556502248558722,-0.094427782382481,0.0600999228085741,-0.0133885201066642,-0.0460619023939982,-0.062565020036363,-0.006188228934631,-0.0231361995573068,-0.0018727443313365,-0.0819713344229877,0.0599254484620535,-0.0186884929746476,-0.0472314344120268,-0.0536446243777849,-0.0105079392175048,-0.0402418531382693,0.012855214154764,0.0503684439907993,-0.0240603482801005,-0.0392960104963733,-0.0583865120903812,-0.0100137515295585,-0.0477292429767908,0.0071285302635738,0.0201183304191632,0.0371517749451084,0.0522689010167809,-0.0072890794294873,0.0374134868615206,-0.0176390720466807,0.0185612650901523,0.0300827489055783,-0.0194491611820383,0.0187791659520867,-0.0302522287449296,0.0465587997553541,0.0029015028323203,0.0222912797127129,0.0002302763700551,0.0105238246992007,-0.058695464500828,-0.0070105844055549,0.0393633479882251,0.0022439295725135,0.0313607368913149
4,P01,EX,0CN,GM,OR,0.0032266386350045,-0.0037082099675834,-0.0306842347144842,0.0211766629216173,-0.0101860137226853,-0.0399362892585926,0.0250134054649251,0.017438177200991,0.0329440853624257,-0.0042986309067657,0.0358429856676734,0.0060402103747588,0.0071102077171312,0.0198559164748832,0.0013196059928772,0.0097606712838002,-0.0186028690886785,-0.0108980566805275,0.002836019739659,0.0029345167531073,0.0309359073335432,-0.0092188727319394,0.0202224555698868,-0.0004672267189237,-0.0228135612520317,-0.0316214203745324,0.0242200974882137,0.0027755375649934,-0.0147809858331191,0.0042521806961974,-0.0139794937382423,0.0188073209526936,-0.0068196198393023,0.006661528253764,-0.0034666507930714,0.0059625147560599,-0.0048220804571049,-0.0006290101131195,0.0168158196138787,-0.0068325480863957,-0.0244223267421928,-0.0179232434190084,0.0003961074155145,-0.012357600722887,-0.0100926970726036,-0.002829666780226,-0.0050666257801965,0.0024663249588315,0.0009384690807119,0.0214804266159688,0.0153197079516346,-0.0052401694534284,-0.0073344710753673,0.0120508334452095,-0.0075631662156128,-0.0064832156410227,0.009701077352133,0.0016270704933027,0.0095947301538235,0.0055371490298608,0.0014007680952378,0.0354284091467042,-0.0197406357543128,-0.0052620228885868,-0.004913343265631,-0.0083940506219977,-0.0020494769539686,0.0026056681818114,-0.010636251101387,-0.0177834481062054,-0.0157561252875994,-0.0377730143038053,0.0011040444261302,-0.0157202832236166,-0.0039565225666935,0.012144558400525,-0.0054512990293854,0.0052277796987873,0.0016770984353967,0.0215913669181592,0.0196276503451281,0.0070836538377439,0.0228162540730117,-0.006332726072407,-0.012530745606332,-0.0156094825674164,-0.0107716415226355,0.0261474189413104,-0.0061781658525193,-0.0411164125521578,0.010041359001949
5,P01,EX,0CN,GM2,OR,-0.0038634213416719,-0.013078136366158,0.0175319379681818,-0.0021319240491856,0.0103030255558666,-0.0001760935553689,-0.0058477810859131,-0.0239498443398925,-0.0014975468535565,-0.0052987162451964,0.0021636393536654,0.001771857720268,-0.0083666089431664,-0.0379951034542965,-0.0180242218842487,-0.0065442877788213,0.0009191631010098,-0.0141978871773417,-0.0075783931191474,0.0163565981520241,-0.0022937479812655,-0.0009859666842916,-0.0051272662067119,0.0185515025943849,0.0155910790867545,-0.0023685663642963,-0.0094099823340456,0.0301774986788158,0.0189533333689229,-0.0070431953199921,-0.0471902969593934,-0.0332159230305873,-0.0176763864076317,-0.0130118793837074,0.0268789663402532,0.0147767461370151,0.0161918431401045,0.0308665819549942,0.0259705921141034,-0.0238153171327059,-0.0210555810504573,-0.0113665448199712,-0.0183725300185413,0.0040670849472473,-0.0078199745378096,-0.0124670627046541,0.0219994278462936,0.000649470390696,-0.0250410890724349,0.0105591342415684,-0.0178210287678436,0.0095836742653399,-0.0048920756098674,0.0007971734905581,0.0301162762232652,-0.0119881616833324,-0.0196649133324807,0.0193314532451292,-0.0201482153318381,-0.0155710147643961,0.0017295776879011,0.0193281739517511,0.0179070103597991,-0.0208886323249634,0.0098895249788644,0.0014839166812138,-0.0238776552062592,0.0040666641758669,0.0248368960813382,0.0059526436656643,0.0005189915386965,0.027597434016367,-0.015316608113829,-0.0016413006403556,-0.0087626468833794,-0.0088105429125431,-0.0011829875478789,0.0227978596377569,-0.0131792088238864,0.0069062940464808,0.0061756562573951,0.0072753501617987,0.021548449518028,-0.0434695045791284,0.0201224536141017,0.0002643495874179,-0.014009849591295,-0.0037979060312436,-0.0146948889388866,-0.0391383494641962,-0.0087766796680552
6,P01,EX,0CN,TH,OR,-0.0223111718374277,0.0454897176195796,-0.0199688362814041,0.0322518473334734,0.0197123136145722,-0.0054822811357834,-0.0054926373742984,-0.0306800446200112,-0.0483392834339496,0.0036801016943187,-0.0365341543891798,-0.0008347516189846,-0.000751499275131,0.0121038460557566,-0.022185833739233,0.014947164689834,-0.0150928029965668,-0.0254266548386551,0.018253109026435,-0.005693493256497,-0.0299657268819885,0.0018555811666001,-0.025527148633479,-0.0218785121469311,0.012758378590773,0.0319724630054241,-0.0381732330738035,-0.0177345485815011,0.0175203405969712,-0.0051051127120547,0.021793930071578,0.0203719040085671,0.0504756461025617,0.0085071315829915,0.0120184736870906,0.0477861707484476,-0.0239149929904756,-0.0167286474390584,0.006578229771566,0.0109065348037445,0.0142406678898783,0.0290169318785613,-0.0035698956566888,0.0214577337576635,-0.0177126339237613,-0.0004392504304897,-0.0108027973875297,0.0224370160271059,-0.0194803853285679,0.0183974054889158,0.0120374688415808,0.0695265145184851,4.625751683840766e-05,0.0132527599384931,0.050794100346585,0.0387868383737882,-0.0158008376981982,0.0134564343852475,0.01894149903826,0.0362209995434574,0.0061012884269693,0.0058253038589436,0.026580014592967,-0.0080929854531249,0.0143777355738426,0.0257566483123581,0.0177070666874357,0.0089920965014358,0.0022972426537725,0.0157983076501343,-0.0222778113669216,-0.0364194995415618,-0.0282713493073268,-0.0176915187892433,-0.0119862081937124,-0.019596547131322,-0.0115898575457327,-0.018402440827341,-0.0084794464721589,-0.0013113997378089,-0.0152565883460379,-0.0407424873337905,0.0017836015662374,0.0010971538675223,-0.0486749517506184,0.0257853311458156,-0.0211714233643796,-0.000608410187669,0.0148492802099185,-0.014832959075162,-0.0001711834238862
7,P02,EX,1CN,AL1,OR,0.0304515068271168,0.0200246569245565,-0.0316004615207704,0.012887256733775,-0.0082908678663314,-0.0351271024420394,0.0359099474281169,0.0013554934029657,-0.0083276704797574,-0.0253513097431419,-0.0003419890146903,-0.0186728806394506,-0.0335477124083489,0.0106341418441562,0.0148115720659314,-0.013237348882282,0.0622516987102016,0.0454220490461179,-0.0277469587253051,0.0260583249606885,0.0046442604476754,0.0107483331269741,-0.0260177142234654,0.0108647528684141,0.0011991664907478,0.030269236454536,-0.0446572591294527,0.0649726489772292,0.0721024305937076,-0.0719720047120119,0.0135728451202877,0.0052668547411391,0.0421403177995919,-0.0339762964028394,0.0182273688765424,0.0166524460358838,0.0075947129192952,0.0085983630791499,0.0229559054022188,-0.007564258653877,-0.0270757626057082,-0.0248764274445608,0.0168219616359827,-0.0348883068757356,-0.0219965848962164,-0.0011860048287921,0.040497376226703,0.0372647550413537,-0.0339152130602238,0.015465655591614,-0.0045683831850524,0.0292988162048426,-0.03906076254941,-0.0056483345299572,-0.0055696146688684,0.0934111051614643,-0.0920602333025991,0.0036260123526139,-0.0045330766130303,0.0558334940874878,-0.0229262213405267,0.018227812011164,0.030095861577814,-0.0630450261616535,-0.0318465395742131,-0.0257502593186351,0.0356339898505064,-0.0203043990429379,-0.0103563815790842,0.0055441717642934,0.0338306394986702,0.0306412456450208,-0.004147113537614,0.0287779678569323,0.0173218301189459,0.0046430938311728,0.02808238414263,-0.0245262016130463,0.0622673896655299,0.0264285992812143,0.0033037700674691,-0.0703479385312052,0.0550600847054963,-0.0208938107699705,-0.0153248928360966,-0.0076448681745143,-0.0443378868199524,-0.0181783854730216,0.0054319538965507,-0.0041113985485355,-0.0065843986067366
8,P02,EX,1CN,AL2,OR,0.0358872678837701,0.0125313798046225,-0.0623159215768747,0.0524263520496487,-0.0199806965878445,-0.0522159099802784,0.0863361571972011,-0.0237934338507654,-0.0083589409978454,-0.092250604920217,0.0253106228998872,-0.0763484465544603,-0.08385254949715,0.0058177440692789,-0.0061184266990566,0.0142957598626875,-0.0261519655505226,-0.0186814661054162,-0.0020276145866598,-0.0036430513737032,0.0269308984793719,-0.019671059139873,0.0184118453645078,-0.0131179141566747,-0.030989633018635,0.065248986167542,-0.0661120947894444,-0.0082061323494299,0.0154968017256536,-0.0221301633512759,0.0190532780066197,0.078281564280805,0.0600249485924522,-0.0158825672975778,0.0615369901040938,0.0618211287059811,-0.0093591015543798,0.004518979572709,0.007195583447531,-0.0081893602229984,-0.0064276470303307,0.0174277774063922,0.0399755488853608,0.0287259873002656,0.0044451083344565,-0.002591816807719,-0.0472363274739743,-0.0373405000873483,0.063542172848892,0.0169925942679248,0.048444535798246,-0.0122758990655266,0.0161365419472648,0.0094189291496636,-0.0020396443703923,0.0401137079319994,-0.056661737519334,0.0112492333304223,0.0612610350891285,0.1038056187541777,-0.0042522788591413,0.070297813906313,0.096884925560259,-0.0510572970641667,-0.0028931847395681,0.0346224254188831,0.078164005922241,-0.0126895285029984,0.0297642713529918,0.0565239571139779,0.0301002644115632,-0.0309541858572623,-0.0543174486993056,-0.0231301690027578,-0.0646433354119553,-0.0872180589092486,-0.0740689813754533,-0.0654456034010795,-0.0416890048673519,-0.054754078914598,-0.066123928237404,-0.0104691948883421,-0.0282327520012878,0.0086536461757556,-0.0103021028896066,0.0196499318202569,-0.012699671395501,-0.0159903301224355,-0.0030372103800034,-0.0058648065154986,0.0532359637898108
9,P02,EX,1CN,BT,OR,0.0244568075490586,0.0096010902275674,-0.0187057011059753,-0.0229247918539733,0.0039086773925567,-0.0052441220715944,0.0398435759285731,0.0268812922614748,-0.0055719343259944,0.0170848432178191,0.0034783046032668,-0.0197064777972037,-0.0220237450263552,0.0010130985048053,-3.57635208551786e-05,-0.0250455718737666,-0.0159353858716176,-0.0093033904966598,0.0317967230792237,0.0057767990605002,-0.000144705455218,0.0093805474837303,0.0096899002101592,0.0322375392098714,0.0253477315476665,-0.0325244755171311,-0.0068901598768862,0.0010096140350075,-0.0304916218559823,0.0249249947177355,-0.0165742024104983,0.0005988704651842,-0.0171019261340645,0.0349665511082406,0.0117972467885597,-0.0101380131813532,-0.003457175423206,0.0009414338426179,0.0085594181575414,-0.0397006953441866,-0.001411935675944,0.0077836742080731,-0.005031461023086,0.0111513348997608,0.0087719045038255,0.0127430517592263,0.0004916973446674,-0.0257463550590773,0.0177649420124084,-0.0007513686131922,0.0026609685546235,-0.0122166253038078,0.0305850074815645,0.0004610505273804,-0.0259019122162527,-0.0305835826176244,-0.0180009696451043,-0.0087732987759784,0.0100120894858394,-0.0083808429774438,0.0368092783213199,0.0042905225195741,-0.0127382323331957,-0.0323329521308975,-0.0378785792866179,-0.0193941148755343,-0.0158360580425978,-0.0090073700644129,-0.0071161378368693,-0.0080233218761137,0.0084384978634495,-0.0070859680045036,-0.0139076459591963,0.0060398034227827,-0.0096686753212673,-0.0039576962737976,0.0101489447182551,0.0180936639319378,-0.0189349027793738,0.0059101040686282,0.0268356824563251,0.0072090326111154,-0.0436274536192119,-0.0209034279722297,-0.0040166299730572,-0.0006937987021517,0.0162299572596321,0.0272562092555018,-0.0180737169042473,7.893033952674974e-05,-0.0098495010115072
