,Participantes,Condicion,Grupo,Banda,Tipo,Fp1_A-F3_B,Fp1_A-C3_B,Fp1_A-O1_B,Fp1_A-F7_B,Fp1_A-T3_B,Fp1_A-T5_B,Fp1_A-Fp2_B,Fp1_A-F4_B,Fp1_A-C4_B,Fp1_A-O2_B,Fp1_A-F8_B,Fp1_A-T4_B,Fp1_A-T6_B,F3_A-C3_B,F3_A-O1_B,F3_A-F7_B,F3_A-T3_B,F3_A-T5_B,F3_A-Fp2_B,F3_A-F4_B,F3_A-C4_B,F3_A-O2_B,F3_A-F8_B,F3_A-T4_B,F3_A-T6_B,C3_A-O1_B,C3_A-F7_B,C3_A-T3_B,C3_A-T5_B,C3_A-Fp2_B,C3_A-F4_B,C3_A-C4_B,C3_A-O2_B,C3_A-F8_B,C3_A-T4_B,C3_A-T6_B,O1_A-F7_B,O1_A-T3_B,O1_A-T5_B,O1_A-Fp2_B,O1_A-F4_B,O1_A-C4_B,O1_A-O2_B,O1_A-F8_B,O1_A-T4_B,O1_A-T6_B,F7_A-T3_B,F7_A-T5_B,F7_A-Fp2_B,F7_A-F4_B,F7_A-C4_B,F7_A-O2_B,F7_A-F8_B,F7_A-T4_B,F7_A-T6_B,T3_A-T5_B,T3_A-Fp2_B,T3_A-F4_B,T3_A-C4_B,T3_A-O2_B,T3_A-F8_B,T3_A-T4_B,T3_A-T6_B,T5_A-Fp2_B,T5_A-F4_B,T5_A-C4_B,T5_A-O2_B,T5_A-F8_B,T5_A-T4_B,T5_A-T6_B,Fp2_A-F4_B,Fp2_A-C4_B,Fp2_A-O2_B,Fp2_A-F8_B,Fp2_A-T4_B,Fp2_A-T6_B,F4_A-C4_B,F4_A-O2_B,F4_A-F8_B,F4_A-T4_B,F4_A-T6_B,C4_A-O2_B,C4_A-F8_B,C4_A-T4_B,C4_A-T6_B,O2_A-F8_B,O2_A-T4_B,O2_A-T6_B,F8_A-T4_B,F8_A-T6_B,T4_A-T6_B
0,P01,OA,0CN,AL2,OR,-0.14298622512136,0.0112220606114343,0.0275861184130991,0.0316747272761629,0.107840287819269,0.0419468213973321,0.0043756251558503,-0.0859770676137736,-0.0061779801375424,-0.0553734583593776,0.106720675530855,0.0573300589836392,-0.0416131999745788,0.1005417997297271,0.0139838870026024,0.0499746675049952,0.1103815228218193,-0.0210648109506376,-0.0644799253569317,-0.03178854505893,-0.0814251925400004,0.044989929294197,-0.0334841392022437,0.060310889709622,-0.0969891214290648,0.0196176736436572,0.0089119881908421,0.0146123500430568,-0.0092016166230065,0.0110658535542665,0.0060883939043552,-0.0597875828549914,-0.0265942014746028,0.0184617998405552,0.0786871643775714,0.0502661292765626,-0.0157790623855645,-0.1097942947164543,-0.1254464359398603,0.0018570856257912,0.1049503440945331,0.0946737089381172,0.027011228817798,-0.0374156117550343,0.1133527472348614,-0.013311282469674,0.0196460358941541,0.0224297883513975,-0.02567741685911,0.0108787498848971,0.0336722165487907,-0.0217157834449488,0.0687498037050477,0.0798442273864038,0.0693289907350123,0.0488243744089152,-0.0137287780868654,0.1142375921627968,-0.0140276337681644,-0.002120225710361,-0.0979189163036705,-0.0626050752872961,-0.0475155828703778,-0.0388695336222065,0.0473366409392872,0.0275594527017259,0.0299450233107723,-0.0963225689553417,-0.0684511484362655,-0.0573304204970764,-0.0838846945075479,-0.0054822236855257,-0.0353286929227908,0.1077923335044039,0.038642090818588,0.0336870595370173,-0.0368243543109621,-0.0383249407357258,0.0314874780523791,0.0437510225494233,-0.0245670707480916,-0.0054484492363786,0.0419847517410633,-0.0553654266206671,0.053827684388702,-0.0512054731347921,0.0267115150290759,0.0206897565619027,-0.0186027785627815,0.0728974362328108,-0.0017502414865351
1,P01,OA,0CN,BT,OR,0.0518730719174751,0.005512411918208,-0.0347916683841137,0.0057150560532478,0.0191692730263088,0.0184055620135151,-0.0013493886465576,0.0303597406556959,0.0403340635404391,-0.0524732680231889,0.0444068064934402,-0.0299073191424016,0.0028633877410098,-0.0087835968693396,0.025423687328439,-0.0284979572954403,-0.0276189835142153,-0.0278405006325546,0.0091201281339901,-0.0121334676384058,-0.1102389115077033,0.0448167461000229,-0.06206057453792,-0.0271319674871231,0.1016103989889221,0.0043554980365371,0.028349700953575,-0.0287988927228919,0.0203833593725294,0.0378959751260027,-0.0359281368936815,0.0253088137234362,-0.016770815900193,0.0303502593482425,-0.0345381631624509,-0.0204270861108507,-0.0093357623669342,0.0256488646886725,-0.0058874816053787,0.0031972012564307,0.0360622453988688,-0.0030004949088704,0.0492553044185709,-0.0378606579052562,-0.0462975828124178,-0.0025153904329095,-0.0090537220897827,-0.0159460375251425,-0.0029093500389963,-0.0110756923698977,0.0176817955838801,-0.0371612645766841,0.0198122076078427,-0.009342010932073,0.0352032853470041,-0.0215675354214417,-0.0253151157293868,-0.0398243191606897,-0.0271386481729736,0.0388250732534609,-0.0421143708371715,-0.0072148628928255,-0.0001729426890753,-0.03364962998345,0.0483478452440276,0.04274262230833,0.0626260695652909,-0.0073861001373699,-0.0443502051396193,-0.02420612830431,-0.0079484313017458,-0.0098172037469129,-0.0621971797283666,0.009492356011022,-0.0081931642729127,0.0464366314168441,-0.0412966565397313,0.0274599208867097,-0.0148375624629093,0.016138391273854,0.0233720343411038,-0.0548994435613625,-0.0325054765239742,0.0534718572261306,-0.0415186556298162,0.0020636338222696,0.0128621879891549,0.0093769095956427,0.0527641469472901,-0.0531318876888428,-0.0770790157527062
2,P01,OA,0CN,GM,OR,0.0203759819995581,0.0675725769858961,0.0226499491818918,0.042939350988853,-0.0015893706177615,0.008404671491062,-0.0304646794719366,-0.0339480962255372,0.00177540971948,-0.0060991320313627,-0.046662335488489,-0.0601981220889315,0.0144983779453134,0.0019527957046434,0.0380723218970575,-0.0389156124962365,0.0022627277056799,0.0210249133711265,0.0053951458234674,-0.0305486435195639,-0.0355435023362541,-0.0540292622909053,0.0392918834802876,-0.0027552461791967,-0.0010298660058676,0.0569798746317604,-0.0306749753821804,0.0874392154406987,0.0060199270447115,-0.0125120927063879,0.0017042334647702,0.0660606644396784,-0.0014767677241191,0.0198564632507739,-0.0008855098023233,-0.0508314552852058,0.003423328358376,-0.0616412794843574,-0.0411561406787841,0.0293755313674504,-0.0197751134110963,-0.0001071105978777,0.0285296057983354,-0.0433900045555722,-0.0155324265173006,0.0747299346301102,0.0700934248128805,0.0548517266772736,-0.0659988379537963,-0.020529065077843,-0.0088275507903011,0.0385721238160832,0.0048271705797851,-0.0121563849343126,-0.0159238260125818,0.0251579228524497,-0.0031825925210805,0.003462035643575,0.0059404667816162,0.0232499424323425,-0.0085757592064111,0.0068855273824986,0.0036781788090629,0.0124022561354328,0.0220133199243554,-0.0008325067125428,0.0762530120665216,-0.0480427123998907,0.0233370257613218,0.0810685661683056,0.0336484705900987,0.0011377628212421,-0.0282733421466605,0.0180440774987194,0.0195526919665991,-0.0869667361400952,-0.0227745812691773,0.0003098015501437,-0.0042770103106154,0.0194169088574029,-0.0343645652298592,-0.041696686519675,-0.0244870483492079,-0.0001115569398559,-0.0071958316900611,-0.0169959352679057,0.006667018848342,0.0281125619675744,0.030196183170222,-0.0479243230323159,0.0157431267694929
3,P01,OA,0CN,TH,OR,-0.0131919261581539,0.0420237362975614,-0.0518808259700599,0.0898058879939375,0.0282163518267909,-0.0645405603655173,-0.0468397159759491,-0.0940765043831298,-0.0619391107338803,-0.0270996217807359,0.0359822727353185,-0.0402367587766397,-0.0378042665219114,0.0688636969758604,-0.0282049704591532,0.0109327578306482,-0.081565799149543,-0.1363564942437075,0.0424738048402716,-0.0015825435251443,-0.0446860833651987,-0.0351685460562428,0.0367861321759337,-0.0334354350005701,-0.0280567869325614,-0.0355778559380299,-0.072647326989864,-0.0971861186269488,-0.0704521437002767,0.1058117316417436,0.0452600376020208,0.0880560794120545,-0.0320118946081678,0.0833093686344689,-0.0024731185947072,0.0082433699996588,-0.0844058975298402,-0.0811363893166333,-0.0023420398814947,0.0895428300929872,0.1052265240730679,0.0553727753686153,0.0016203086860506,0.0222633505159159,0.0343150043302552,0.0284103555978372,-0.0374988681570544,0.0013249324289535,0.0462524706699873,0.0310126564845326,0.0633803980170899,-0.002048638728048,0.0267880888101526,0.0097952319544759,0.0254574732064958,0.0457050094481534,0.03925426352855,0.0978933253078481,0.0835793371578706,0.0447449146990942,-0.0225557602352407,0.0350670701878193,0.0574733841922683,0.0460433769281038,0.0840040570836114,0.0586443402831238,0.0310353425113791,-0.0358943991950601,0.0143773962501128,0.0281915477264778,-0.0460044800949522,-0.053344956803422,0.0074628051130671,-0.0089553300825191,-0.0230844188290673,-0.0526219698840816,-0.1509911992175522,-0.0228681774673904,-0.0234714292561163,-0.0283662087195355,-0.059069335505606,-0.0801443901776567,0.0744873827164792,0.0966881204013207,0.0149543729577869,-0.0177090216049448,0.0003507098662623,0.0111745020016896,0.0954576225550654,0.0428542038840969,0.02570983283367
4,P02,OA,1CN,AL2,OR,-0.2371473498369697,-0.1248293725207643,0.1327006106027628,-0.0300272497832138,0.1369406579026974,0.1044975514034224,-0.0098919327551336,-0.1837463505817592,-0.1033440884189944,0.066258981759018,-0.0980546848322838,0.0306471233831087,0.0607545087298646,-0.0768490920139839,0.0971677291371372,-0.0283680736485981,-0.1138199283111244,-0.0450248174561267,0.160250996118506,-0.0582381755128583,-0.1529683878417328,-0.0432985012752564,-0.0402353791376117,-0.080997682419498,-0.0156178268901149,-0.103583132485078,0.036834293140541,-0.1054435011610549,-0.1220359685858232,0.2128222736169757,0.001387899424521,0.0141673365326879,-0.012623062955702,0.0594177651340377,-0.0655205147700945,-0.1328963908313681,-0.0041374794563609,0.0047453808145427,0.1393726925953623,0.0302406377818899,-0.0080038522245126,-0.0669167574829934,-0.0321860485122146,-0.1329007119552578,-0.0624445774601701,-0.0472514090975517,0.0081980850693332,-0.0748494682479812,0.0032928702164339,-0.0601904153472418,0.0838306221289345,0.0071500089716229,-0.0140754823301228,-0.0012567803083341,-0.003827927872424,-0.1164957159830069,0.1215841886828576,0.01985765234484,-0.0067338204329996,-0.0956622318065946,0.0265792429251644,-0.1183408672160456,-0.2312476836150885,0.081132981569345,0.0708932365361181,0.0471214795875407,-0.0888351581214919,-0.0310239669989766,-0.1178051011779061,-0.1097500767492429,0.0054625458228583,-0.0380023996389899,-0.0001079858196782,-0.0133345404801316,-0.0232665580930675,0.0387114290038275,-0.1491347133970293,0.0387174864109188,-0.0705370038847772,0.0610562764020271,0.0945219739264179,0.0751413940741735,0.1063291698747173,0.081477970310103,0.0520925146432115,-0.057745161016738,-0.0199141627813338,-0.0278905603075091,0.1843810759697272,0.1456810047071258,0.0455001260324543
5,P02,OA,1CN,BT,OR,-0.0256468140112362,-0.06987981319474,0.0068770079663926,0.0065969213039349,0.0196999005093609,-0.0389356093049458,-0.002473984402278,0.0032336971767199,-0.0006269924102224,0.0249860418671939,-0.0189986558832754,0.0330438855894221,0.0418669864882758,-0.0749540063033383,0.0523256349622068,0.0202957473426586,0.029770219814575,-0.013897019580549,-0.0353394846902646,0.0217179869803978,0.0155541662477592,0.0255673342181337,0.0027434913987795,-0.0003129292593868,0.0009233237801788,-0.0223317401435802,-0.0098742042400497,0.0016754652710091,-0.0557840238236474,0.0435609433512177,-0.0727392730149406,0.0033959133739512,-0.064335761631521,0.0560572667245407,0.0574217719165138,0.0677873466269645,-0.0298171336682924,-0.0204231716346693,-0.0102115046709042,0.0707060106416508,0.0580699824264486,-0.0235334309648355,-0.0368244325335218,0.0253813754577249,-0.0166197407675251,-0.039527332147411,0.0344465518247876,0.0326747302962816,0.0229402517335315,-0.0713517019121856,0.0064754299645219,-0.0813758883981936,0.0407597929665052,0.0030448724179747,0.0157601375578945,0.0234059468006406,0.0300274923847471,-0.0558419240547162,0.0481127120769444,-0.0613674001851006,0.0387691433305609,0.0219850917300754,0.0122840307300329,0.0131569020108099,0.029280594530543,-0.012607001737387,-0.0191310500162165,0.0428387215326312,0.0071871851645377,-0.0312112269358576,0.0162116045292342,0.0014793309776616,0.0373382833361164,-0.0113563475087538,-0.0252589591616403,0.0471927909463614,-0.0061046203500296,0.0769942198545919,0.0209623041836542,-0.0149121493089042,0.0144679932169444,0.0429210095823823,-0.0725265124670899,-0.0137634307337167,-0.0633457093289904,-0.0439320698610205,-0.0501818365751212,0.0221319722520232,-0.0033260455475111,-0.0018025356862616,-0.0376425139247906
6,P02,OA,1CN,DL,OR,0.0040356627243285,0.0653266343272129,-0.1566927059200583,0.1953622267466691,-0.1171180407099878,-0.0912697342349565,0.1024344460471167,-0.065130101654075,-0.1775506378061006,-0.2495590233238498,0.0844734657117778,-0.1965659454105998,-0.1795160347199299,0.1226622812890252,-0.1254112533624177,0.0789117518103277,0.0373332348879316,-0.0202020163324733,0.0034967519152285,0.0233769821710774,-0.0728067981503768,-0.0343429625263939,-0.0002072298411755,-0.0290116508983935,-0.040139185498068,-0.0616571299327812,0.0295585313990429,0.0029855446101174,0.0595427732833785,0.0297108466726546,-0.0355622814277644,-0.0394265996254985,0.0528392839520842,-0.0394280447558862,0.0196614701474534,0.083200135727392,-0.0625002241247613,-0.0542348455493508,0.0149437340575799,0.0117887002534931,-0.1067193944485658,-0.1845220686481435,0.0580779389357319,-0.1392203218080633,0.0259840060640707,0.0029998125250516,-0.0277163862065274,0.1073378436263474,-0.0488189044608748,0.1154790122510818,0.1408970422531483,0.1012907125284432,-0.1090732515948346,0.1278923817800842,0.0353110709868957,-0.0181133114829193,-0.0161465273557511,-0.0512486231548307,-0.0560403499287558,-0.025896656942473,0.0433538779308417,0.0410025459377009,-0.0107194032124112,0.0113778407085911,-0.0953495897225633,-0.1509127472236311,0.0864503898836979,-0.1276972029032293,0.0858356750519809,0.0454464617856839,-0.1076597373194514,-0.1918466735366613,-0.152172713494662,0.1176265568264567,-0.1303097358115942,-0.0680177984523857,-0.0632457525683519,-0.0575994313922711,0.0808946864438065,-0.0474631675212843,-0.0282493032351033,-0.1232960812927095,0.1936884559749431,-0.05678862188717,-0.0670463867246898,-0.0102197182429874,-0.0429977112343212,-0.0051971595478088,-0.068801322416598,-0.0309671673708915,-0.0535405913423374
7,P02,OA,1CN,GM,OR,0.0226522998929343,0.0485298697611559,0.0173734656282928,-0.0080488883620013,0.0380563556935759,0.0669752820222374,-0.0645510313687949,0.0088240312372688,-0.049131331008407,0.0209296687590522,-0.0402486089857722,-0.0209051374351762,0.0070943683564495,0.0328224618722994,-0.003292545199965,-0.0302224937551336,0.0060043578461237,-0.0067620924344172,0.0329174918573827,0.0174932580017498,0.0189847082099634,-0.00204092962682,-0.0113068149191124,-0.0410075520720465,-0.0140145378974665,-0.0365750771667266,-0.0018505671637933,0.0162416318767054,-0.0112114100756577,0.0333976025834765,-0.0736086042862954,0.0349837823069195,-0.016495252535086,0.0648327579099182,0.0139176093179795,0.0112486529964452,0.0452198682862884,-0.0717268692320459,-0.1012872292827305,0.0293970029692454,0.0123303820360444,0.0209225092165394,-0.0519970891434637,-0.023517125570665,0.0134201636051107,-0.0146824045980178,-0.0181647088512857,0.0505009337666031,-0.006584984627326,-0.0691552659366325,-0.0285672018129857,-0.0237936895411277,-0.0186800354074123,-0.0012888052000238,0.0365677605688317,-0.0120611274812855,-0.024585344762428,-0.033734193692612,-0.0109022089244374,0.0129571983371942,-0.1005896832075893,0.0625870797078219,0.0563080555092092,0.0515531787997422,0.0372163006474609,0.0096892819287646,-0.0365233871642603,-0.0215450065412039,0.0105307588636053,-0.0228401595225535,0.0383500604743532,-0.0165610999977679,0.0807837566349514,-0.0303967645346962,0.0101002194194425,0.0081284834748393,-0.0010167869810834,-0.0307048635413854,0.1018602892921836,0.0147952893713236,0.0099443711011166,-0.0033999461645067,0.0455764248660895,0.0072324339026121,-0.01776641980869,-0.0616433738661363,0.0125924843041912,-0.0436066569769633,-0.0198400429227836,0.0033501967541156,-0.0069752468726606
8,P02,OA,1CN,TH,OR,-0.0057907630058708,-0.0169325024351718,0.0551332976267017,0.0010068751432358,-0.0292219300885249,-0.0140853976786129,0.0698955150064909,0.018636150842461,-0.1353335763856961,0.0385320095891576,0.0138044134088634,-0.1032781152313563,-0.0817252389927238,-0.0215718621430042,0.0034139181549442,-0.0633779424454525,-0.0190909673003993,-0.000325990467717,0.0267835137656486,-0.0616571729533534,0.0329802589856907,-0.0099412304250789,-0.0178799948934959,-0.020259171022345,0.065162713464388,0.105809509556953,-0.0526093452698566,0.0352612364028458,0.0737931008942246,-0.0678286341966886,-0.1316026225789504,0.0692715847985561,0.0181522830873639,-0.0880344041518626,0.1030557716828661,0.1303371749080147,0.0836865082231877,0.0373116830958751,0.0244713971533882,-0.0978332068862588,-0.1187988092104687,0.0724923352122873,-0.1053980927332099,0.0859794649903851,0.1245316253449472,0.0793877262886162,-0.0004691525570277,-0.0363260520851552,-0.0669360762763186,0.0526051084982316,0.0051414657922721,0.0591896582094442,-0.1007090103927414,-0.0143441724327114,-0.0408895503113178,0.1243143415367289,-0.1421346519495869,-0.0879982951314041,0.1317780521874502,0.0544414377549614,-0.0571281421932568,0.1493725734569375,0.1610413825328684,-0.122427271448999,-0.122060560719314,0.1050720891831133,-0.0271629219748774,0.0181610365901037,0.1683170149305136,0.1516245498070379,0.077130192052017,-0.1179239621782245,0.0197800497076519,0.0223811865726322,-0.1593518301756583,-0.1678378780644452,-0.0802732052104023,-0.0098833611201764,-0.022654424527909,-0.0770920170024131,-0.0298629972920684,0.0152453582713946,0.0378327675944527,0.0218283333184091,-0.0320154549247964,0.0516875105638392,0.0434245460301194,0.0284365660690671,-0.0058096062190177,-0.0620825078494177,-0.0279686217384113
9,P03,OA,0CN,AL2,OR,0.1087994385807389,0.0217365163660788,-0.0983838722212959,0.0471557127028582,-0.0823346670246262,-0.0873907962897315,0.0429508558051096,0.0332550344393204,0.0561167613744369,-0.0379411369421002,-0.0088885638941849,0.0393275096342142,-0.0184256152030772,-0.0173379665132725,-0.0867762277271857,-0.0327409957495992,-0.0425119135471917,-0.0398697090171411,0.0035277517234621,0.0253706089794479,0.1114109784360674,0.0047344579242708,0.0148542599980561,0.0866561965710834,0.0095932338654746,-0.0283648746767062,-0.075006963041214,0.0248299298369161,0.0241692043212913,-0.1099703981101605,0.0359354074935394,0.1021221701593894,0.0276013848029886,-0.083879995821977,0.1543061548002281,0.1505469902088006,-0.1378293438367293,0.0300736813968345,0.076174697805452,-0.1117005907713467,0.0247740485892811,0.0967359278772878,0.094307075515388,-0.0386800239705256,0.1862303192641362,0.0956122025924532,-0.0617301190419328,-0.0194133671581577,-0.0081238760099512,0.0223434143713606,0.0568772654423277,-0.0230112201977561,-0.0056867217228414,0.0082351981256564,0.0764446569519465,0.0331526539131628,-0.0591506161419837,0.0241708713125922,0.039365221739127,0.0531925743552034,-0.0403007956712161,0.0476978317627633,0.0823980488771999,-0.0727442765101709,0.0007856437858854,0.0267634612782965,0.0571730801478494,-0.0239004687307545,0.1252371918565134,0.1120800648752532,-0.0369714768819116,0.0293924341573735,-0.067797804271377,0.0465721295765886,-0.0898661690019944,-0.1264706834397021,0.0562901055360943,-0.0714495835057336,0.0484830592805345,-0.0376456020488987,-0.104246833565014,-0.0530641575661715,0.0447359954411718,-0.1232922896024471,-0.091682189354023,0.0449393867806402,-0.0174345381510934,-0.0116666161080008,-0.1193140215061635,-0.1813881895155172,-0.0797897277542336
