,Participantes,Condicion,Grupo,Banda,Tipo,Fp1_A-F3_B,Fp1_A-C3_B,Fp1_A-O1_B,Fp1_A-F7_B,Fp1_A-T3_B,Fp1_A-T5_B,Fp1_A-Fp2_B,Fp1_A-F4_B,Fp1_A-C4_B,Fp1_A-O2_B,Fp1_A-F8_B,Fp1_A-T4_B,Fp1_A-T6_B,F3_A-C3_B,F3_A-O1_B,F3_A-F7_B,F3_A-T3_B,F3_A-T5_B,F3_A-Fp2_B,F3_A-F4_B,F3_A-C4_B,F3_A-O2_B,F3_A-F8_B,F3_A-T4_B,F3_A-T6_B,C3_A-O1_B,C3_A-F7_B,C3_A-T3_B,C3_A-T5_B,C3_A-Fp2_B,C3_A-F4_B,C3_A-C4_B,C3_A-O2_B,C3_A-F8_B,C3_A-T4_B,C3_A-T6_B,O1_A-F7_B,O1_A-T3_B,O1_A-T5_B,O1_A-Fp2_B,O1_A-F4_B,O1_A-C4_B,O1_A-O2_B,O1_A-F8_B,O1_A-T4_B,O1_A-T6_B,F7_A-T3_B,F7_A-T5_B,F7_A-Fp2_B,F7_A-F4_B,F7_A-C4_B,F7_A-O2_B,F7_A-F8_B,F7_A-T4_B,F7_A-T6_B,T3_A-T5_B,T3_A-Fp2_B,T3_A-F4_B,T3_A-C4_B,T3_A-O2_B,T3_A-F8_B,T3_A-T4_B,T3_A-T6_B,T5_A-Fp2_B,T5_A-F4_B,T5_A-C4_B,T5_A-O2_B,T5_A-F8_B,T5_A-T4_B,T5_A-T6_B,Fp2_A-F4_B,Fp2_A-C4_B,Fp2_A-O2_B,Fp2_A-F8_B,Fp2_A-T4_B,Fp2_A-T6_B,F4_A-C4_B,F4_A-O2_B,F4_A-F8_B,F4_A-T4_B,F4_A-T6_B,C4_A-O2_B,C4_A-F8_B,C4_A-T4_B,C4_A-T6_B,O2_A-F8_B,O2_A-T4_B,O2_A-T6_B,F8_A-T4_B,F8_A-T6_B,T4_A-T6_B
0,P01,OC,0CN,AL1,OR,-0.0491712767434258,-0.048554172653899,-0.0182460835559121,-0.0261357960655112,-0.0109956241156071,-0.0165451890431803,-0.0081001444099206,-0.0013709169110648,-0.0807721632878105,0.1199428395898707,-0.0758957504899651,-0.0117924666589848,0.0976136856445649,-0.0754305207555648,0.0037009133836196,-0.0903007187417001,-0.059730765001155,-0.0213250995843137,0.0083746983235205,0.0621486026050945,-0.0417198532763591,0.0857576476205829,-0.0671069382332716,-0.0297165915243402,0.0476884004288008,-0.0882180541731447,0.0849890304235066,-0.0485066250198058,-0.1050929468373327,0.0958718394678705,0.0377838339279212,0.0272202839403551,0.017727413845334,0.0317093086484448,0.058718561626827,0.0322680687154204,0.0344606404228239,-0.0616929274784719,-0.0919041349102589,0.0855507844661831,0.084681499043313,0.1332789612053257,-0.0774511623289527,0.0948216947698901,0.0807522305999409,-0.0721969933515839,-0.0006122436522091,-0.0645503976941891,0.0769048334402495,-0.017684698670841,0.0137445379432887,0.0074244724646493,0.0355046008881416,0.0455134705814382,0.0061286520102745,-0.0883935077668803,0.1241854600390462,-0.0149356943799877,0.0796492320997658,-0.1258350411080019,0.1132502380274676,0.0437166976730774,-0.0846827958439373,0.1131328091936945,0.0559787233821995,0.1382596343783209,-0.1122528923863107,0.0887118785432627,0.0670623715679554,-0.0753168278221633,0.034480780369344,-0.0625265587865636,0.1558499786202949,-0.0837528222099141,-0.0474410382349063,0.1346159728945085,-0.0948692748895086,0.1209967837117569,-0.1165165653610869,-0.0780569256705896,0.0507967326948725,0.0959794416064955,-0.1232294627007789,-0.0478138709654231,0.095754378250078,0.0475920387174479,0.0061624615272403,-0.0572502652209202,-0.0166628535032779,0.0830009414147027,-0.0096522832102025
1,P01,OC,0CN,AL2,OR,0.0025564347465118,0.0006204774710073,-0.010595225486942,0.0192155562044664,0.0115505072944042,0.0325601932267396,-0.0344725934283766,-0.0331755307879832,-0.0087266991008715,0.0135281619784042,-0.0148581332866817,0.0487069559174556,0.0688336583275863,-0.0340104095773768,0.0361212688464153,0.017276549385077,0.042920625745466,0.1052953724392672,-0.0671465642941709,-0.0946315797940099,-0.0224725899120171,0.0277686096663986,0.0003846868386136,0.0021832325481653,0.0607871302408944,-0.0384923604506656,0.0441828532127024,-0.0462469742056167,-0.0411669192370571,0.0140734043644196,-0.0113072241926377,0.0429041250000328,0.0006061732970417,0.0636243881246057,0.0987709351163067,0.1003268041065307,0.0384486837294856,0.0068798095609295,-0.0516808738131967,0.0274617914370417,0.0038425427231382,0.0633558130682539,-0.0525285314212894,0.0877393811435414,0.0354082043344802,-0.0580734268491726,-0.0367463347104794,-0.0288588499902425,-0.0023279109809754,0.0212946958634702,0.0324712359227342,0.0118942041530497,0.0475806637479467,0.0656952461589264,0.0901924316838175,-0.0492247366579372,0.0060227764133554,0.0391954286618748,0.0233916481661563,-0.0383211981991092,0.0339321370429756,0.0453547822520623,0.0250440270609288,-0.006468615897555,-0.0419886915724187,0.0137255308139027,-0.0775204743504938,0.0593523421788035,0.0206885698178675,-0.050072533943273,-0.1284802956006951,-0.1783938097118844,0.0285523241842959,-0.1593266971828104,-0.1281298850438352,-0.0256066383991006,-0.0897817023801947,-0.0386235437769787,-0.0391447031412952,-0.1175638047419213,-0.0526499854548259,0.0384653658328409,-0.0608211331995367,-0.0558806024397806,-0.0398258172370943,0.0720561740202018,0.0382423999785948,-0.044876428484108,-0.0410186186468472,-0.0010618888936689,0.0189842406930861
2,P01,OC,0CN,BB,OR,-0.0149386859871974,-0.019390345948221,0.0206587984422879,-0.0355849726173336,0.0257757192574769,0.0303500766749295,-0.0303910238808469,0.0002369956679838,-0.0077965008013726,0.0209999923053407,-0.0061041405102218,-0.0142591955588486,0.0334602700894699,-0.0320465128855392,0.0273886848267641,-0.038811097533317,-0.0143739234578799,0.0412178840996572,-0.0219071387444173,-0.03151492172591,-0.0200207574465458,0.0170735654308818,-0.0090378006735532,-0.0110970587715677,0.0250188225512158,-0.0158047108454199,0.0079568281512054,-0.0025013458254427,-0.023845946828574,0.0119564673276213,-0.0085022324744145,0.012354452594381,0.01425296942248,0.0142776912285464,0.0194557109417631,0.0212361593782334,-0.0022549155920356,-0.0223724985848735,-0.0270990925214098,0.0291790573895047,0.0127953017230425,0.0178085752261784,-0.0159556102907601,0.0048297454911789,0.0339372367022163,-0.0221790358907306,0.0030075717247156,-0.0344948817765115,0.0231337624723437,0.0167030454511197,0.00300181685942,0.0065532672322873,0.0116859264784878,0.0029697053742884,0.0095424146728152,-0.0136657955328262,0.0280589800801442,0.0210871292395845,0.0024331069080453,-0.0194380233306748,-0.0012921153194053,0.0179687557946428,-0.0217922432020231,0.0440072351755474,0.0194614230572268,0.0063291289458839,-0.0195069790549334,0.0064080566673078,0.0164582677193247,-0.0303291022947277,-0.0101196746075043,-0.0068629500110685,0.0374348859967606,-0.037054072526899,-0.0195016037805012,0.0453963953799234,-0.0017190190892179,0.013849471653025,-0.0035476419632132,-0.0051765122004202,0.0208844060092095,0.0052437413794562,-0.0198258339420478,-0.0289716000571863,-0.0065465403825329,0.0015074112209115,0.0214706167268286,-0.0277079411442874,-0.0264434375957316,-0.0113728319947948,-0.0031079148036825
3,P01,OC,0CN,BT,OR,0.0382223297635619,0.0489366126158357,-0.0060007729251486,0.0603761073001538,0.0637534537479281,0.0216664759927195,-0.0044778025344061,-0.0441353030962787,-0.0147730887127696,-0.054245867657828,-0.0201737288191765,-0.0016095525002538,-0.043093479062637,-0.000246591587339,0.0445356619575132,-0.020054671667709,0.0085191714011848,0.024983159841392,-0.0435197812744015,-0.0363044066631036,-0.026960669009702,0.047668008457196,-0.0816277950191374,0.0022522638534824,0.01272805704598,0.0198285234388634,-0.048414849837697,0.0170896911653961,0.0232961117392522,-0.0422951349194784,-0.0463804879918265,0.0048739770010375,0.0177797641787681,0.0014357453231811,0.0332161817322978,0.0567972421077619,-0.0379450228828194,-0.0028902119875811,-0.0058221387925572,0.0013432982833479,-0.0139788658634022,-0.0143481714617094,0.0206782528217243,0.0224396217221403,-0.0174177432327358,0.0150191379792574,0.013720719536749,0.026662610588195,0.0126281727118163,-0.0205564906946653,-0.0248549484625155,-0.0037004661153156,-0.0290008688864463,-0.0290458636145969,-0.0295240614719164,0.0124425634175523,0.0070953694834516,0.0148214006142297,-0.0175042425912715,0.0058152674511749,0.0101899612979782,0.0006940635355293,-0.0220522897794795,-0.0124323526221236,-0.0224084666476046,-0.0207375191779837,0.0304576743147307,0.0184866499791627,-0.0034650691782285,0.0103830410774032,-0.0013895274175876,0.0106457109562256,-0.0245922592961344,-0.022572054980168,0.0148349878403117,-0.0184361700777116,0.0106857907375461,-0.0235559496698302,-0.006009191501563,0.002261230425405,-0.0590644298974722,0.0073892606194328,0.0328279488831958,-0.0447285060197128,-0.0100711180903983,0.0180966365756706,0.0457628276855359,0.004075807731856,-0.0459616340643462,-0.0022938543093381,0.034543395008698
4,P01,OC,0CN,DL,OR,-0.0626238226587303,-0.0945533011720904,0.1078821518506461,-0.0439243808631568,0.0053353330503024,0.0536207900605662,-0.0577740154103186,-0.0249514847272935,0.0286019881097212,0.041838143469983,-0.0009434604122999,-0.082563636072152,0.0129918138048186,-0.0479840715896418,0.0111887347606638,-0.0866182785589354,-0.0196225391119896,0.114369104318767,-0.015962244099642,-0.0484823035444141,-0.0195118819292088,-0.030494432438451,0.0161245542457275,0.0037125891179206,0.0357053428611069,0.0004979385483859,-0.0623585702710172,-0.0423862330516653,-0.0423862680149764,0.0407410509819942,0.019036871489349,0.042618109374556,0.0026277589974068,0.05518596548785,-0.0274404518057351,-0.0817118499760442,-0.0515492160066333,-0.0097794889516741,0.0665030593263145,-0.0173214591437607,0.0178281088463163,-0.0390587248757213,0.0668247568374206,-0.0689787953963034,0.0709468208988773,0.0128377435351516,-0.0340319673440585,-0.0621400203701998,0.0524818857257335,0.0408400243444052,0.0017158735406686,-0.0207934716836859,0.0083188687993102,-0.0940290375641709,-0.0637150073186187,0.0415539296349692,-0.0067743171040021,0.0984624220012425,0.0050848086717105,0.0188438656281475,-0.0589550313098201,-0.0134706984486653,-0.0708046409596057,0.0096307207100783,0.0653001357214865,-0.0438107522818119,0.0512501148947488,-0.0726994786426414,0.0015778207963592,-0.0312759795878681,-0.0755357232238561,0.0819744970398183,0.02205390113158,0.0372534052571961,0.0387506010110412,0.0783705383461021,0.0402580641612328,-0.0301282720605136,0.108666161607314,0.0735172491533419,0.0726978023772327,-0.0255822411494156,-0.0270595494554206,-0.0176511170816428,-0.0602771070134198,-0.0679210199563436,0.0727688459518452,0.0380218010719402,-0.0137226570153393,-0.0283354105746009,0.0324427467227141
5,P01,OC,0CN,GM,OR,-0.0004109007715236,-0.0023208088791604,0.039334035213429,-0.0134315033094524,0.0124270762852763,-0.0406033539367555,-0.0150239571359021,0.0157415200972167,-0.0366271239954776,0.0174724971704046,0.0067752484254436,0.0090740229266602,0.0362298662629674,0.0238227673771804,-0.0311997399541708,0.0218416709283712,-0.0471706835992726,-0.0557983951137497,0.0126082517714832,-0.0097230848930525,0.0485826063212232,0.0321060431733822,0.0540381811060536,0.0099012431777561,0.0023957975750257,0.0556266908658325,0.0465424117606888,-0.0177281558605724,-0.0429814686956712,0.0323690391922183,-0.0070915844444542,-0.0389353658313739,0.005820402211053,-0.0338374743912394,-0.0329013122192582,-0.0033994880692557,-0.0180425718941862,-0.0047994343493042,0.0359006710257945,0.0032611724605624,-0.0242208308049371,0.0121023308971955,-0.001554540016638,0.0408873009762895,0.0341187621173815,-0.0069985289158854,-0.0007463150299803,-0.0820327894021799,-0.0287646099620379,-0.0149399458880201,-0.0012949871333738,-0.0151229654101294,-0.0114744052499668,0.0358419021427384,0.0454571436409264,-0.0184197607742051,-0.021130896674709,-0.0487752986439046,-0.0186544855520636,-0.0719341292595104,-0.0089610276963259,0.0369174772836756,-0.0036260430605032,-0.0102721405411737,-0.0386392723100961,0.0024667589097884,-0.0450812435332125,0.0458125594876765,0.0337358790355417,-0.0404143429528768,0.01470173152566,-0.0004650574336743,0.0087581378270999,-0.0270451963236409,-0.0266126965503293,0.044346406750384,-0.0432102580051646,0.0340963574425167,-0.0037282113418974,-0.0094348749961647,-0.003557145315069,-0.0292636659725176,-0.0389542021215701,-0.0249742378791136,-0.0240798765313455,0.0269431256533817,0.0120884376480446,-0.014948647706983,-0.0176593903019159,0.0289300972402267,-0.0109922103632135
6,P01,OC,0CN,GM2,OR,0.0475108313228251,0.0245729088126232,-0.015378967539863,0.0284365957850675,0.0495665334384263,-0.01078598584738,-0.030124685380653,-0.0135236375149271,-0.005992661192413,-0.0521091300441161,-0.0162122926317335,-0.0224028851195732,-0.0213880601805913,0.0003466892845826,-0.0036607928450663,-0.0411793305866841,0.0145515242123804,-0.0521123204403149,-0.0544656471688265,0.0434035125475911,-0.0317106145528841,0.0866534163230031,0.019649693473405,0.0237856481929872,0.0167885053197325,-0.0097091698499837,0.0315360330130869,0.0113775148070584,0.0139943987226358,-0.0014616622597898,0.0306860036447278,0.0350316152867088,-0.0406658505828268,-0.021426685975915,0.0205213056102957,0.0165272831301772,-0.0005755954197426,0.0236754040155365,0.066127174027015,0.0058322916006526,-0.0514147819942065,0.00728180107441,0.0103129340666372,-0.0116856034561927,-0.0193875624372092,0.0299966158576702,-0.0651858275197102,-0.0833298775760245,0.0076519204689204,0.0928933661492396,0.0049876142745256,0.0562791264216578,-0.0351779943316957,0.0739533368495866,0.0069715738593254,0.0014737584061531,0.0259782732372077,-0.0546512493118155,-0.044353782915506,0.0177740790158454,-0.0118983025971398,0.0144590268849343,0.0108321621556802,-0.0148339841471643,-0.040138239386611,-0.0362907204255365,0.0337964058414119,-0.0686606073591974,-0.0189327020574785,0.0598627364487428,-0.0007925799652785,0.0089818549347915,-0.0425256039950498,-0.0208519715452527,-0.0234954497529023,0.0090402296196647,0.0149545293467618,0.0446556162587382,-0.0022990442343211,-0.0659182952981014,-0.0383701514339283,0.0383999928220383,0.0344861020244644,-0.0095367211701448,-0.1192237702877668,0.0245818119371431,0.028447343348414,-0.0214474570323118,-0.0504012037999897,-0.0318690947753367,0.0910777040795946
7,P02,OC,1CN,AL1,OR,-0.0261557265740126,-0.003182185587003,0.0879732846908471,-0.0570718401782856,0.0204963840912386,0.0916090991998367,-0.0872690164441767,-0.0015588316889341,-0.069299825406955,0.0670601540004501,-0.0261251889063756,0.0985587320503272,0.0129621869012413,-0.0836051144049527,0.0444847994024128,-0.0140804130243863,-0.0698339583819305,0.0564460303705229,-0.123000807972084,0.0279149672304469,-0.0039234111763592,0.1257565468940549,-0.0178458765632773,0.0946425867590383,0.0399184684299707,-0.0205908575883925,-0.0573943677780629,-0.0198410924306873,-0.0024662498694599,-0.0156056524731634,0.0677372469380098,-0.015034067711634,-0.0359907939444654,0.0058312428188196,0.0453628410771269,-0.0192322389148076,-0.006422052781318,-0.0666214723742874,-0.0513088531961648,0.1152549585035162,0.0775286872514379,-0.007285374891281,-0.0518240610906293,0.0600231028291412,-0.1260909028277978,-0.0439648003691484,0.0667650896179451,0.0330343399075187,-0.0576595683507563,0.1240748425420475,-0.005249837942201,0.0323520300096158,-0.0463959874629273,-0.0017159721192774,-0.0035233254268135,-0.0957808907142475,0.0453089855656319,0.1562473298525613,0.1054629939443891,-0.0522849232235465,0.0756356654660894,-0.0281337299826273,-0.0871515688846619,0.1244847461386193,0.0403919978685239,0.0285523325744871,-0.0162134008759159,0.0811634059804979,-0.1072588685168129,-0.0234688444918671,-0.0493302502293874,-0.0418237713093981,0.0698099654746991,-0.0937938427217534,0.1260906831248947,0.065856345391419,0.0068320820324641,-0.0287465944001163,0.0721535632195265,0.1420872593859969,0.0455858185049308,-0.0350456075337183,-0.0847104795841903,-0.0386982887947269,-0.0110602211894666,0.0671898167738836,-0.0050211717552596,0.0378996830216611,-0.0606778215011595,-0.0888936547518817,0.0349660402897038
8,P02,OC,1CN,AL2,OR,-0.1166291368146529,-0.0878583821851307,0.0651314465119938,-0.0667442501247483,-0.0099475207784411,0.0550694258598019,-0.0808486679314766,0.0031751520069966,0.0279588363181279,0.1242860962776512,-0.0772227441188052,0.053783916605047,0.0965149900720975,-0.077892235774059,0.0997832982814847,-0.1141059946612566,-0.044135178166812,0.0326351197007577,-0.1154498667345659,0.0142307796001028,0.0741403041610938,0.1601077772862709,-0.0780739535954687,0.0642387759551558,0.102337161635784,0.0977451689388043,-0.0518232061220085,-0.0321000187992619,0.0111363864396758,-0.0568285165784721,-0.0132518561670048,-0.0036686542931046,0.1155102929832496,-0.0948208856635212,0.0780371958108208,0.0741567244517155,0.0730515605049003,-0.0130323749513767,-0.1069867785015685,0.1111737304981188,0.0302966454733941,0.0384014045090673,-0.0872183998739897,0.1063666031823089,-0.0181766135404734,-0.1121952908385006,-0.0119342462253352,0.0514408195432464,-0.0491052793941267,-0.0254003510569268,0.0170129207578301,0.0971735448483959,-0.1160087043332909,0.0698073388398815,0.0767394007558834,0.0460480388494303,-0.0614671483686009,-0.0327293955568887,-0.0175175383872834,0.1329758734647712,-0.1206137670449451,0.0796259076197185,0.0947134170823716,-0.0003771761544618,0.0010338223518137,-0.02118305082202,-0.0417249784583779,0.0150335856206977,-0.020245233686333,-0.071830571271304,-0.0536281506102175,0.024178343435856,0.0486193210318591,-0.0286953787083257,0.0530780172778392,0.0813400294943779,0.0358204782596952,0.0226173494093526,0.0290666435137902,0.000986452790779,0.0411634526475804,0.0425566690784655,-0.0131352097221942,-0.0894462258505711,0.0399133687402812,0.1192124642044047,-0.0400624905226821,-0.092926624883055,-0.0287234115942334,0.1133053788203178,-0.0014235645501424
9,P02,OC,1CN,BB,OR,0.0266897942815733,-0.0178226270541924,0.1028834748139541,-0.0330156422741217,0.0475107766707165,0.0581944534394485,-0.0471415641401256,0.0446205836107922,0.0118316335851875,0.0945275161302618,-0.0022346110143521,0.0287263483568337,0.0769926249046698,0.025022527605789,0.0033507971887124,0.0201245993376016,-0.034493680822737,-0.0224920379477102,-0.0235948693345948,0.0086135930085299,0.0281253272826128,0.013578704434494,0.0053016689135166,-0.0287921396087005,0.0139880810506948,0.0306673171598269,-0.0173397474919185,0.0079384719245602,0.0057626609006744,-0.0443444349829093,0.0039118636505716,0.0455677507828608,0.0413234742644477,0.0627266269405469,0.0523231541234011,0.0562427508854167,0.007822272760269,-0.036958895270094,-0.0509541420451564,0.0244130523648176,0.0088440520780118,-0.0244784258403342,-0.0416441161443686,0.0410732966800915,0.0086070324209887,-0.0335723916533995,0.0855902397881299,0.0671928718642621,-0.085391088906251,0.0499326224469135,0.0449011630694387,0.1121617222410145,0.0369013749298249,0.0941329165350533,0.1169083884916939,-0.0291000517841758,-0.0073827835892771,-0.0154362396577128,0.0575503298212822,0.0065718510245774,0.06910961573803,0.0458679999860503,0.024008908958888,0.0397306461428992,-0.0395614536926178,-0.0050566688443025,-0.0396159993261366,0.0251250101687723,-0.0139740478234808,-0.0279635178098383,0.0202899465642721,-0.0692469999144022,-0.0059891149127097,-0.0460494725424763,-0.0798127348514117,-0.0494514778895849,0.0069846082672237,-0.0781472617686189,0.0094143878379317,-0.0565140623089971,-0.0669570962601412,-0.0622346024392149,-0.0434177501418891,-0.0477135060123107,-0.0716924749278364,0.0604330471964741,-0.0034930416086195,-0.0264878336491609,-0.0587746585056122,-0.0603092732328359,-0.0331520245255255
